signature;translation;speech part;transcription;synonyms;sentences;groups
abandon;"отказываться от; оставлять, покидать; бросать";verb;əˈbændən;desert, forsake, leave;;
abashed;сконфуженный, смущенный;adjective;;;He merely sprang to the side and ran stiffly ahead for several awkward leaps, in carriage and conduct resembling an abashed country swain.;WHITE FANG (book)
abbot;"аббат; настоятель монастыря";noun;ˈæbət;;The abbot's wise counsel could not tame Nikita's ambitious desire to be a recluse.;MYSTAGOGY, religion
abide by;"придерживаться; следовать; соблюдать";phrase;;comply, obey;Competitors must abide by the judge's decision.;LANGUAGE COURSES, law, phrasal verbs
ablaze;горящий, пылающий;adjective;;;The house was ablaze, and the flames and smoke could be seen for miles around.;REPEATING
aboard;на борту (корабля, самолета, поезда);adverb;;;All aboard![Посадка заканчивается!] | I saw two inflatable dinghies aboard. | Lin Zhiling brought many things with her handbag when she went aboard a plane.;holidays, LANGUAGE COURSES
about-face;поворот кругом, на 180 градусов ;noun;;;Harry made a sharp about-face and held the broom steady.;HARRY POTTER AND THE SORCERER'S STONE (book)
abrupt;внезапный, неожиданный;adjective;;sudden;;
absent-minded;рассеянный;adjective;;abstracted;You are uncommonly absent-minded today.[Вы сегодня необычайно рассеянны.];LANGUAGE COURSES
abstracted;"погружённый в свои мысли; рассеянный";adjective;;absent-minded;He was passing through the alley with the same abstracted air.;REPEATING, traits
abysmal;очень плохой, отвратительный (very bad);adjective;əˈbɪzm(ə)l;;Even Neville scraped through, his good Herbology mark making up for his abysmal Potions one.;HARRY POTTER AND THE SORCERER'S STONE (book)
accomplish;"1) выполнять; совершать; 2) завершать, доводить до конца; 3) совершенствовать";verb;;carry out, execute, fulfil;;
accumulate;"накапливать, скапливать(ся), аккумулировать; набираться, скопляться";verb;;collect, gather;;
accuse;обвинять, винить;verb;;blame, charge;She was accused of misusing company funds.;
ace;"1) опытнейший; выдающийся; 2) of the highest quality";adjective;;splendid, superior;I'll show you the door in short order if you flunked English, you little ace composition writer.;THE CATCHER IN THE RYE (book)
achieve;достигать, добиваться;verb;;attain, reach;According to some experts, achieving unenjoyable tasks during our work actually contributes to our sense of well-being.;
acquire;"приобретать, получать; наживать, наварить";verb;;gain, get, obtain;To reinforce your knowledge of streams acquired in the previous section, let's explore another System.IO capability that was added a few .NET Framework versions ago: (named) pipes.;сложные слова
